"mal_id","anime_title","score","members","start_date","url"
"185","Initial D First Stage","8.30","294205","19980419","https://myanimelist.net/anime/185/Initial_D_First_Stage"
"186","Initial D Second Stage","8.14","170504","19991015","https://myanimelist.net/anime/186/Initial_D_Second_Stage"
"187","Initial D Third Stage","7.88","141808","20010113","https://myanimelist.net/anime/187/Initial_D_Third_Stage"
"189","Love Hina","7.11","244665","20000419","https://myanimelist.net/anime/189/Love_Hina"
"198","Speed Grapher","7.33","103108","20050408","https://myanimelist.net/anime/198/Speed_Grapher"
"202","Wolf's Rain","7.81","298968","20030107","https://myanimelist.net/anime/202/Wolfs_Rain"
"205","Samurai Champloo","8.50","1068174","20040520","https://myanimelist.net/anime/205/Samurai_Champloo"
"206","Lodoss-tou Senki: Eiyuu Kishi Den","7.14","28402","19980401","https://myanimelist.net/anime/206/Lodoss-tou_Senki__Eiyuu_Kishi_Den"
"207","Lodoss-tou Senki","7.37","58706","19900630","https://myanimelist.net/anime/207/Lodoss-tou_Senki"
"223","Dragon Ball","7.96","883431","19860226","https://myanimelist.net/anime/223/Dragon_Ball"
"225","Dragon Ball GT","6.46","554903","19960207","https://myanimelist.net/anime/225/Dragon_Ball_GT"
"227","FLCL","8.03","710282","20000426","https://myanimelist.net/anime/227/FLCL"
"228","Jigoku Shoujo","7.63","320886","20051005","https://myanimelist.net/anime/228/Jigoku_Shoujo"
"235","Detective Conan","8.16","299207","19960108","https://myanimelist.net/anime/235/Detective_Conan"
"237","Koukyoushihen Eureka Seven","8.07","404936","20050417","https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven"
"239","Gankutsuou","8.16","220847","20041006","https://myanimelist.net/anime/239/Gankutsuou"
"241","Girls Bravo: First Season","6.41","133689","20040705","https://myanimelist.net/anime/241/Girls_Bravo__First_Season"
"253","Jungle wa Itsumo Hare nochi Guu","7.82","31524","20010403","https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu"
"254","Jungle wa Itsumo Hare nochi Guu Deluxe","7.81","11691","20020825","https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe"
"257","Ikkitousen","6.41","143955","20030730","https://myanimelist.net/anime/257/Ikkitousen"
"267","Gungrave","7.84","169422","20031007","https://myanimelist.net/anime/267/Gungrave"
"270","Hellsing","7.49","629363","20011011","https://myanimelist.net/anime/270/Hellsing"
"271","Gad Guard","6.67","12781","20030416","https://myanimelist.net/anime/271/Gad_Guard"
"272","Noir","7.29","101472","20010406","https://myanimelist.net/anime/272/Noir"
"274","Kiddy Grade","7.20","42694","20021009","https://myanimelist.net/anime/274/Kiddy_Grade"
"287","Grappler Baki (TV)","7.45","101167","20010109","https://myanimelist.net/anime/287/Grappler_Baki_TV"
"290","Seikai no Monshou","7.66","46692","19990103","https://myanimelist.net/anime/290/Seikai_no_Monshou"
"298",".hack//Tasogare no Udewa Densetsu","6.57","63636","20030109","https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu"
"323","Mousou Dairinin","7.67","347565","20040203","https://myanimelist.net/anime/323/Mousou_Dairinin"
"325","Peach Girl","6.96","90973","20050108","https://myanimelist.net/anime/325/Peach_Girl"
"339","Serial Experiments Lain","8.06","606347","19980706","https://myanimelist.net/anime/339/Serial_Experiments_Lain"
"341","Spiral: Suiri no Kizuna","7.23","49432","20021001","https://myanimelist.net/anime/341/Spiral__Suiri_no_Kizuna"
"343","Tsukuyomi: Moon Phase","6.96","70241","20041005","https://myanimelist.net/anime/343/Tsukuyomi__Moon_Phase"
"355","Shakugan no Shana","7.48","498674","20051006","https://myanimelist.net/anime/355/Shakugan_no_Shana"
"379","Heppoko Jikken Animation Excel<U+2665>Saga","7.49","99818","19991008","https://myanimelist.net/anime/379/Heppoko_Jikken_Animation_Excel<U+2665>Saga"
"384","Gantz","7.01","320993","20040413","https://myanimelist.net/anime/384/Gantz"
"387","Haibane Renmei","7.97","241613","20021010","https://myanimelist.net/anime/387/Haibane_Renmei"
"390","Suzuka","7.19","107419","20050707","https://myanimelist.net/anime/390/Suzuka"
"392","Yuu<U+2606>Yuu<U+2606>Hakusho","8.45","578755","19921010","https://myanimelist.net/anime/392/Yuu<U+2606>Yuu<U+2606>Hakusho"
"393","Escaflowne","7.07","62682","20000624","https://myanimelist.net/anime/393/Escaflowne"
"394","Ai Yori Aoshi: Enishi","7.14","55164","20031013","https://myanimelist.net/anime/394/Ai_Yori_Aoshi__Enishi"
"395","Gantz 2nd Stage","7.05","148236","20040826","https://myanimelist.net/anime/395/Gantz_2nd_Stage"
"396","Seikai no Senki","7.69","30637","20000414","https://myanimelist.net/anime/396/Seikai_no_Senki"
"397","Seikai no Senki II","7.81","21675","20010711","https://myanimelist.net/anime/397/Seikai_no_Senki_II"
"398","Seikai no Senki III","7.67","16433","20050806","https://myanimelist.net/anime/398/Seikai_no_Senki_III"
"400","Seihou Bukyou Outlaw Star","7.85","138160","19980109","https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star"
"411","Gun x Sword","7.27","70795","20050704","https://myanimelist.net/anime/411/Gun_x_Sword"
"417","Ragnarök The Animation","6.46","45968","20040407","https://myanimelist.net/anime/417/Ragnarök_The_Animation"
"427","Kaleido Star","7.92","76700","20030403","https://myanimelist.net/anime/427/Kaleido_Star"
"428","Kaleido Star: Aratanaru Tsubasa - Extra Stage","7.50","13247","20040924","https://myanimelist.net/anime/428/Kaleido_Star__Aratanaru_Tsubasa_-_Extra_Stage"
"429","Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari","7.86","13329","20051211","https://myanimelist.net/anime/429/Kaleido_Star__Legend_of_Phoenix_-_Layla_Hamilton_Monogatari"
"430","Fullmetal Alchemist: The Conqueror of Shamballa","7.53","304377","20050723","https://myanimelist.net/anime/430/Fullmetal_Alchemist__The_Conqueror_of_Shamballa"
"457","Mushishi","8.67","720243","20051023","https://myanimelist.net/anime/457/Mushishi"
"468","Innocence","7.80","145155","20040306","https://myanimelist.net/anime/468/Innocence"
"469","Karin","7.13","166144","20051103","https://myanimelist.net/anime/469/Karin"
"478","Sousei no Aquarion","7.10","71111","20050405","https://myanimelist.net/anime/478/Sousei_no_Aquarion"
"483","Kurau Phantom Memory","7.32","28318","20040625","https://myanimelist.net/anime/483/Kurau_Phantom_Memory"
"487","Girls Bravo: Second Season","6.63","84245","20050127","https://myanimelist.net/anime/487/Girls_Bravo__Second_Season"
"490","Paniponi Dash!","7.44","57297","20050704","https://myanimelist.net/anime/490/Paniponi_Dash"
"492","Armitage III: Dual-Matrix","6.84","16608","20020625","https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix"
"493","Armitage III: Poly-Matrix","7.06","13425","19960420","https://myanimelist.net/anime/493/Armitage_III__Poly-Matrix"
"502","Dragon Ball Movie 1: Shen Long no Densetsu","6.79","59030","19861220","https://myanimelist.net/anime/502/Dragon_Ball_Movie_1__Shen_Long_no_Densetsu"
"511","Kidou Shinsengumi Moeyo Ken TV","6.16","5385","20050702","https://myanimelist.net/anime/511/Kidou_Shinsengumi_Moeyo_Ken_TV"
"516","Keroro Gunsou","7.68","68032","20040403","https://myanimelist.net/anime/516/Keroro_Gunsou"
"517","School Rumble: Ichi Gakki Hoshuu","7.73","55584","20051222","https://myanimelist.net/anime/517/School_Rumble__Ichi_Gakki_Hoshuu"
"534","Slayers","7.74","127796","19950407","https://myanimelist.net/anime/534/Slayers"
"535","Slayers Next","8.02","64251","19960405","https://myanimelist.net/anime/535/Slayers_Next"
"538","Shin Tenchi Muyou!","6.87","33655","19970401","https://myanimelist.net/anime/538/Shin_Tenchi_Muyou"
"539","Tenchi Muyou! Ryououki","7.63","46699","19920925","https://myanimelist.net/anime/539/Tenchi_Muyou_Ryououki"
"540","Tenchi Muyou! Ryououki 2nd Season","7.65","25910","19940925","https://myanimelist.net/anime/540/Tenchi_Muyou_Ryououki_2nd_Season"
"541","Tenchi Muyou! Ryououki 3rd Season","7.30","18993","20030918","https://myanimelist.net/anime/541/Tenchi_Muyou_Ryououki_3rd_Season"
"551","Grappler Baki: Saidai Tournament-hen","7.47","61727","20010724","https://myanimelist.net/anime/551/Grappler_Baki__Saidai_Tournament-hen"
"568","Bubblegum Crisis Tokyo 2040","7.09","33985","19981008","https://myanimelist.net/anime/568/Bubblegum_Crisis_Tokyo_2040"
"576","Magikano","6.34","32532","20060101","https://myanimelist.net/anime/576/Magikano"
"584","Noein: Mou Hitori no Kimi e","7.59","84348","20051012","https://myanimelist.net/anime/584/Noein__Mou_Hitori_no_Kimi_e"
"588","Itsudatte My Santa!","5.91","12810","20051207","https://myanimelist.net/anime/588/Itsudatte_My_Santa"
"595","X OVA","6.81","11971","20010825","https://myanimelist.net/anime/595/X_OVA"
"596","Chobits: Chibits","6.98","44606","20030627","https://myanimelist.net/anime/596/Chobits__Chibits"
"608","Sakura Taisen: Katsudou Shashin","6.43","5982","20011222","https://myanimelist.net/anime/608/Sakura_Taisen__Katsudou_Shashin"
"656","Air in Summer","7.31","38734","20050828","https://myanimelist.net/anime/656/Air_in_Summer"
"696","Tenchi Muyou!","7.43","69714","19950402","https://myanimelist.net/anime/696/Tenchi_Muyou"
"706","Comic Party Revolution","6.50","9039","20050404","https://myanimelist.net/anime/706/Comic_Party_Revolution"
"713","Air Movie","7.24","57813","20050205","https://myanimelist.net/anime/713/Air_Movie"
"777","Hellsing Ultimate","8.37","794619","20060210","https://myanimelist.net/anime/777/Hellsing_Ultimate"
"779","Detective Conan Movie 01: The Timed Skyscraper","7.85","62529","19970419","https://myanimelist.net/anime/779/Detective_Conan_Movie_01__The_Timed_Skyscraper"
"780","Detective Conan Movie 02: The Fourteenth Target","7.88","55639","19980418","https://myanimelist.net/anime/780/Detective_Conan_Movie_02__The_Fourteenth_Target"
"781","Detective Conan Movie 03: The Last Wizard of the Century","8.03","57898","19990417","https://myanimelist.net/anime/781/Detective_Conan_Movie_03__The_Last_Wizard_of_the_Century"
"790","Ergo Proxy","7.91","557011","20060225","https://myanimelist.net/anime/790/Ergo_Proxy"
"793","xxxHOLiC Movie: Manatsu no Yoru no Yume","7.95","60301","20050820","https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume"
"807","Tsubasa Chronicle: Tori Kago no Kuni no Himegimi","7.31","43473","20050820","https://myanimelist.net/anime/807/Tsubasa_Chronicle__Tori_Kago_no_Kuni_no_Himegimi"
"813","Dragon Ball Z","8.15","1065429","19890426","https://myanimelist.net/anime/813/Dragon_Ball_Z"
"822","Initial D Extra Stage","7.31","43506","20010322","https://myanimelist.net/anime/822/Initial_D_Extra_Stage"
"846","School Rumble: Ni Gakki","8.00","146768","20060403","https://myanimelist.net/anime/846/School_Rumble__Ni_Gakki"
"848","Jinki:Extend - Sorekara","6.16","2742","20060222","https://myanimelist.net/anime/848/Jinki_Extend_-_Sorekara"
"849","Suzumiya Haruhi no Yuuutsu","7.84","829217","20060403","https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu"
"853","Ouran Koukou Host Club","8.17","983683","20060405","https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club"
"856","Utawarerumono","7.64","150987","20060404","https://myanimelist.net/anime/856/Utawarerumono"
"857","Air Gear","7.50","324305","20060405","https://myanimelist.net/anime/857/Air_Gear"
"860","Makai Senki Disgaea","6.73","41238","20060405","https://myanimelist.net/anime/860/Makai_Senki_Disgaea"
"861","xxxHOLiC","7.99","282342","20060407","https://myanimelist.net/anime/861/xxxHOLiC"
"873",".hack//Roots","6.88","70223","20060406","https://myanimelist.net/anime/873/hack__Roots"
"880","Aa! Megami-sama!: Sorezore no Tsubasa","7.56","61599","20060407","https://myanimelist.net/anime/880/Aa_Megami-sama__Sorezore_no_Tsubasa"
"882","Yuu<U+2606>Yuu<U+2606>Hakusho (Movie)","6.80","27616","19930710","https://myanimelist.net/anime/882/Yuu<U+2606>Yuu<U+2606>Hakusho_Movie"
"884","Shin Angyo Onshi","6.86","17364","20041204","https://myanimelist.net/anime/884/Shin_Angyo_Onshi"
"889","Black Lagoon","8.03","844931","20060409","https://myanimelist.net/anime/889/Black_Lagoon"
"891","Dragon Ball Movie 2: Majinjou no Nemurihime","6.75","55178","19870718","https://myanimelist.net/anime/891/Dragon_Ball_Movie_2__Majinjou_no_Nemurihime"
"892","Dragon Ball Movie 3: Makafushigi Daibouken","6.84","50000","19880709","https://myanimelist.net/anime/892/Dragon_Ball_Movie_3__Makafushigi_Daibouken"
"893","Dragon Ball Movie 4: Saikyou e no Michi","7.13","53159","19960302","https://myanimelist.net/anime/893/Dragon_Ball_Movie_4__Saikyou_e_no_Michi"
"894","Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!","6.66","108398","19890715","https://myanimelist.net/anime/894/Dragon_Ball_Z_Movie_01__Ora_no_Gohan_wo_Kaese"
"895","Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu","6.61","100136","19900310","https://myanimelist.net/anime/895/Dragon_Ball_Z_Movie_02__Kono_Yo_de_Ichiban_Tsuyoi_Yatsu"
"896","Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen","6.70","118849","19900707","https://myanimelist.net/anime/896/Dragon_Ball_Z_Movie_03__Chikyuu_Marugoto_Choukessen"
"897","Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu","6.56","104870","19910309","https://myanimelist.net/anime/897/Dragon_Ball_Z_Movie_04__Super_Saiyajin_da_Son_Gokuu"
"898","Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou","7.04","127130","19910720","https://myanimelist.net/anime/898/Dragon_Ball_Z_Movie_05__Tobikkiri_no_Saikyou_tai_Saikyou"
"899","Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi","6.80","111485","19920307","https://myanimelist.net/anime/899/Dragon_Ball_Z_Movie_06__Gekitotsu_100-oku_Power_no_Senshi-tachi"
"900","Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin","6.85","107062","19920711","https://myanimelist.net/anime/900/Dragon_Ball_Z_Movie_07__Kyokugen_Battle_Sandai_Super_Saiyajin"
"901","Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen","7.32","141237","19930306","https://myanimelist.net/anime/901/Dragon_Ball_Z_Movie_08__Moetsukiro_Nessen_Ressen_Chougekisen"
"902","Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu","7.10","105201","19930710","https://myanimelist.net/anime/902/Dragon_Ball_Z_Movie_09__Ginga_Girigiri_Bucchigiri_no_Sugoi_Yatsu"
"903","Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai","6.78","115478","19940312","https://myanimelist.net/anime/903/Dragon_Ball_Z_Movie_10__Kiken_na_Futari_Super_Senshi_wa_Nemurenai"
"904","Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da","5.82","106860","19940709","https://myanimelist.net/anime/904/Dragon_Ball_Z_Movie_11__Super_Senshi_Gekiha_Katsu_no_wa_Ore_da"
"905","Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta","7.56","129646","19950304","https://myanimelist.net/anime/905/Dragon_Ball_Z_Movie_12__Fukkatsu_no_Fusion_Gokuu_to_Vegeta"
"906","Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru","7.33","113274","19950715","https://myanimelist.net/anime/906/Dragon_Ball_Z_Movie_13__Ryuuken_Bakuhatsu_Gokuu_ga_Yaraneba_Dare_ga_Yaru"
"908","Fullmetal Alchemist: Premium Collection","7.32","66122","20060329","https://myanimelist.net/anime/908/Fullmetal_Alchemist__Premium_Collection"
"935","Witchblade","7.23","105313","20060406","https://myanimelist.net/anime/935/Witchblade"
"953","Juu Ou Sei","7.23","67196","20060414","https://myanimelist.net/anime/953/Juu_Ou_Sei"
"957","Saiunkoku Monogatari","7.91","87057","20060408","https://myanimelist.net/anime/957/Saiunkoku_Monogatari"
"958","HeatGuy J","7.15","16867","20021002","https://myanimelist.net/anime/958/HeatGuy_J"
"963","Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""","7.23","35973","20000927","https://myanimelist.net/anime/963/Love_Hina__Motoko_no_Sentaku_Koi_ka_Ken_Naku_na"
"966","Crayon Shin-chan","7.74","69576","19920413","https://myanimelist.net/anime/966/Crayon_Shin-chan"
"969","Tsubasa Chronicle 2nd Season","7.59","110723","20060429","https://myanimelist.net/anime/969/Tsubasa_Chronicle_2nd_Season"
"973","Glass no Kantai: La Legende du Vent de l'Univers","6.55","11136","20060404","https://myanimelist.net/anime/973/Glass_no_Kantai__La_Legende_du_Vent_de_lUnivers"
"985","Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks","7.74","93661","19930224","https://myanimelist.net/anime/985/Dragon_Ball_Z_Special_2__Zetsubou_e_no_Hankou_Nokosareta_Chousenshi_-_Gohan_to_Trunks"
"986","Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen","7.55","90312","19901017","https://myanimelist.net/anime/986/Dragon_Ball_Z_Special_1__Tatta_Hitori_no_Saishuu_Kessen"
"987","Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu","6.53","66301","19970326","https://myanimelist.net/anime/987/Dragon_Ball_GT__Gokuu_Gaiden_Yuuki_no_Akashi_wa_Suushinchuu"
"1006","Tenchi Muyou! in Love","7.42","21680","19960420","https://myanimelist.net/anime/1006/Tenchi_Muyou_in_Love"
"1013","Le Chevalier D'Eon","7.21","54286","20060702","https://myanimelist.net/anime/1013/Le_Chevalier_DEon"
"1015","Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi","7.67","67998","20060526","https://myanimelist.net/anime/1015/Full_Metal_Panic_The_Second_Raid__Wari_to_Hima_na_Sentaichou_no_Ichinichi"
"1023","Wolf's Rain OVA","8.01","59890","20040123","https://myanimelist.net/anime/1023/Wolfs_Rain_OVA"
"1066","Shakugan no Shana-tan","7.08","33634","20060125","https://myanimelist.net/anime/1066/Shakugan_no_Shana-tan"
"1079","Armitage III","7.01","29787","19950225","https://myanimelist.net/anime/1079/Armitage_III"
"1101","Tenchi Muyou! Manatsu no Eve","7.13","14538","19970802","https://myanimelist.net/anime/1101/Tenchi_Muyou_Manatsu_no_Eve"
"1111","Vandread: Gekitou-hen","6.89","7099","20021025","https://myanimelist.net/anime/1111/Vandread__Gekitou-hen"
"1112","Vandread: Taidou-hen","6.78","7129","20010121","https://myanimelist.net/anime/1112/Vandread__Taidou-hen"
"1124","Seikai no Danshou: Tanjou","7.09","7984","20000825","https://myanimelist.net/anime/1124/Seikai_no_Danshou__Tanjou"
"1133","Tenchi Muyou! GXP","7.16","28245","20020402","https://myanimelist.net/anime/1133/Tenchi_Muyou_GXP"
"1140","Giniro no Kami no Agito","7.08","67576","20060107","https://myanimelist.net/anime/1140/Giniro_no_Kami_no_Agito"
"1144","Tenchi Muyou! in Love 2: Haruka Naru Omoi","7.21","14944","19990424","https://myanimelist.net/anime/1144/Tenchi_Muyou_in_Love_2__Haruka_Naru_Omoi"
"1146","Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!","7.34","14260","19930925","https://myanimelist.net/anime/1146/Tenchi_Muyou_Ryououki__Omatsuri_Zenjitsu_no_Yoru"
"1147","Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?","7.23","10773","20050914","https://myanimelist.net/anime/1147/Tenchi_Muyou_Ryououki_3rd_Season__Tenchi_Seirou_naredo_Namitakashi"
"1172","Slayers Try","7.82","50615","19970404","https://myanimelist.net/anime/1172/Slayers_Try"
"1194","Coyote Ragtime Show","6.64","19130","20060704","https://myanimelist.net/anime/1194/Coyote_Ragtime_Show"
"1195","Zero no Tsukaima","7.26","733564","20060703","https://myanimelist.net/anime/1195/Zero_no_Tsukaima"
"1210","NHK ni Youkoso!","8.32","629454","20060710","https://myanimelist.net/anime/1210/NHK_ni_Youkoso"
"1226","Seihou Tenshi Angel Links","5.96","8220","19990407","https://myanimelist.net/anime/1226/Seihou_Tenshi_Angel_Links"
"1247","Project BLUE Chikyuu SOS","6.63","3272","20060702","https://myanimelist.net/anime/1247/Project_BLUE_Chikyuu_SOS"
"1250","Erementar Gerad","7.27","89796","20050405","https://myanimelist.net/anime/1250/Erementar_Gerad"
"1292","Afro Samurai","7.35","324469","20070503","https://myanimelist.net/anime/1292/Afro_Samurai"
"1311","Chobits Recap","6.96","36532","20030221","https://myanimelist.net/anime/1311/Chobits_Recap"
"1363","Detective Conan Movie 04: Captured in Her Eyes","8.03","54540","20000422","https://myanimelist.net/anime/1363/Detective_Conan_Movie_04__Captured_in_Her_Eyes"
"1364","Detective Conan Movie 05: Countdown to Heaven","8.12","55561","20010421","https://myanimelist.net/anime/1364/Detective_Conan_Movie_05__Countdown_to_Heaven"
"1365","Detective Conan Movie 06: The Phantom of Baker Street","8.30","67837","20020420","https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street"
"1374","Kyoushoku Soukou Guyver (2005)","7.24","20147","20050806","https://myanimelist.net/anime/1374/Kyoushoku_Soukou_Guyver_2005"
"1380","Blue Gender: The Warrior","6.22","10478","20021120","https://myanimelist.net/anime/1380/Blue_Gender__The_Warrior"
"1416","Lupin III: Dead or Alive","7.14","9941","19960420","https://myanimelist.net/anime/1416/Lupin_III__Dead_or_Alive"
"1417","Lupin III: Moeyo Zantetsuken!","7.05","7261","19940729","https://myanimelist.net/anime/1417/Lupin_III__Moeyo_Zantetsuken"
"1419","Lupin III: Kutabare! Nostradamus","7.34","9879","19950422","https://myanimelist.net/anime/1419/Lupin_III__Kutabare_Nostradamus"
"1422","Lupin III: $1 Money Wars","7.14","6223","20000728","https://myanimelist.net/anime/1422/Lupin_III__1_Money_Wars"
"1431","Lupin III: Ai no Da Capo - Fujiko's Unlucky Days","6.78","6327","19990730","https://myanimelist.net/anime/1431/Lupin_III__Ai_no_Da_Capo_-_Fujikos_Unlucky_Days"
"1434","Lupin III: Harimao no Zaihou wo Oe!!","6.93","6089","19950804","https://myanimelist.net/anime/1434/Lupin_III__Harimao_no_Zaihou_wo_Oe"
"1436","Lupin III: Twilight Gemini no Himitsu","6.96","6506","19960802","https://myanimelist.net/anime/1436/Lupin_III__Twilight_Gemini_no_Himitsu"
"1437","Lupin III: Honoo no Kioku - Tokyo Crisis","7.23","6855","19980724","https://myanimelist.net/anime/1437/Lupin_III__Honoo_no_Kioku_-_Tokyo_Crisis"
"1438","Lupin III: Lupin Ansatsu Shirei","6.93","6726","19930723","https://myanimelist.net/anime/1438/Lupin_III__Lupin_Ansatsu_Shirei"
"1439","Lupin III: Walther P38","7.33","7314","19970801","https://myanimelist.net/anime/1439/Lupin_III__Walther_P38"
